C[N+]1=CN(C=C1)CC.[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),C[N+]1=CN(C=C1)CC.[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),298,0.1387,1228.0,0.2539
[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),298,0.04728,1319.0,0.4341
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),333,0.03547,1148.0,0.5606
C[N+]1=CN(C=C1)CC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),313,0.01221,1411.0,1.7072
C[N+]1=CN(C=C1)CCCC.[B+3]1([F-])([F-])[O-]C(=O)CC(=O)[O-]1,C[N+]1=CN(C=C1)CCCC.[B+3]1([F-])([F-])[O-]C(=O)CC(=O)[O-]1,313,0.0779,1246.0,0.4278
[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),333,0.01439,1285.0,1.2535
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),323,0.01246,1330.0,1.1952
[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),323,0.01919,1294.0,0.9723
[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),303,0.0385,1314.0,0.5223
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),333,0.0095,1320.0,1.5247
