src,trg,Temperature,Pressure,DynViscosity,Density,ElecConductivity
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),283.15,101.325,0.317,1441.0,0.0656
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),288.15,101.325,0.2186,1426.0,0.0791
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),293.15,101.325,0.1558,1409.0,0.0923
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),298.15,101.325,0.1154,1402.0,0.1037
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),303.15,101.325,0.087,1384.0,0.1115
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),308.15,101.325,0.0672,1374.0,0.1149
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),313.15,101.325,0.05302,1365.0,0.1157
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),298.15,101.325,0.02975,1357.0,0.5439
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),303.15,101.325,0.02433,1352.0,0.6528
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),313.15,101.325,0.017,1341.0,0.9035
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),323.15,101.325,0.01246,1330.0,1.1952
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),333.15,101.325,0.0095,1320.0,1.5247
FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.C(C)(=O)OCC[N+](COCCC)(C)C,FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.C(C)(=O)OCC[N+](COCCC)(C)C,298.1,101.325,0.179,1393.0,0.121
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,278.15,101.325,0.808,1195.9,0.0495
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,280.65,101.325,0.648,1194.3,0.0603
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,283.15,101.325,0.524,1192.6,0.0764
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,285.65,101.325,0.43,1190.9,0.0897
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,288.15,101.325,0.354,1189.3,0.1106
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,290.65,101.325,0.294,1187.8,0.1278
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,293.15,101.325,0.226,1189.0,0.1549
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,295.65,101.325,0.209,1184.3,0.1766
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,298.15,101.325,0.17,1182.19,0.21
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,300.65,101.325,0.152,1180.6,0.238
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,303.15,101.325,0.129,1172.0,0.281
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,305.65,101.325,0.1129,1177.2,0.315
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,308.15,101.325,0.097,1168.0,0.364
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,310.65,101.325,0.0869,1173.5,0.404
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,313.15,101.325,0.0733,1166.0,0.461
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,315.65,101.325,0.0676,1170.0,0.517
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,318.15,101.325,0.0591,1168.31,0.575
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,320.65,101.325,0.0537,1166.6,0.638
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,323.15,101.325,0.0466,1160.0,0.704
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,325.65,101.325,0.0432,1163.2,0.775
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,328.15,101.325,0.039,1161.5,0.851
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,273.15,101.0,0.579,1539.6,0.0324
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,278.15,101.0,0.399,1534.0,0.046
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,283.15,101.0,0.282,1528.5,0.0634
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,288.15,101.0,0.205,1523.9,0.0853
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,293.15,101.0,0.1533,1518.5,0.1122
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,293.15,101.325,0.151,1519.0,0.11
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,298.15,101.0,0.1159,1513.2,0.145
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,298.15,101.325,0.112,1514.0,0.15
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,303.15,101.0,0.0897,1508.0,0.1829
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,303.15,101.325,0.0869,1509.0,0.19
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,313.15,101.0,0.0566,1497.5,0.278
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,313.15,101.325,0.0551,1498.0,0.28
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,323.15,101.0,0.0379,1487.1,0.4
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,333.15,101.0,0.0266,1476.7,0.549
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,343.15,101.0,0.01948,1466.5,0.724
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,353.15,101.0,0.01474,1456.3,0.928
C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,303.0,101.325,0.725,1105.0,0.033
C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,303.0,101.325,0.725,1105.0,0.0328
C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,308.0,101.325,0.485,1102.0,0.047
C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,313.0,101.325,0.336,1099.0,0.064
C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,318.0,101.325,0.24,1096.0,0.088
C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,323.0,101.325,0.176,1093.0,0.114
C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,328.0,101.325,0.1323,1090.0,0.15
C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,333.0,101.325,0.1015,1087.0,0.197
C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,338.0,101.325,0.0794,1084.0,0.255
C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,343.0,101.325,0.0632,1081.0,0.321
C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,348.0,101.325,0.051,1078.0,0.416
C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,C1(=CC=CC=C1)[B-](F)(F)F.C(CCC)[N+]1(CCCCC1)C,353.0,101.325,0.0418,1075.0,0.494
CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,278.15,101.0,0.168,1732.93,0.224
CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,288.15,101.0,0.0965,1720.83,0.362
CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,298.15,101.0,0.0605,1708.84,0.539
CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,308.15,101.0,0.0408,1696.96,0.757
CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,318.15,101.0,0.02898,1685.16,1.018
CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,328.15,101.0,0.02141,1673.43,1.318
CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,338.15,101.0,0.01629,1661.79,1.658
CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,348.15,101.0,0.01278,1650.23,2.028
CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,358.15,101.0,0.01023,1638.73,2.429
FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.OCC[N+](COCCCCCCCCC)(C)C,FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.OCC[N+](COCCCCCCCCC)(C)C,298.1,101.325,0.166,1268.0,0.077
C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,293.15,100.0,0.0496,1039.8,0.000831
C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,298.15,100.0,0.0397,1035.5,0.000954
C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,303.15,100.0,0.0284,1031.2,0.001089
C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,308.15,100.0,0.021,1027.0,0.001246
C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,313.15,100.0,0.0159,1022.7,0.001411
C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,318.15,100.0,0.0124,1018.5,0.001569
C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,323.15,100.0,0.0099,1014.2,0.001734
C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,328.15,100.0,0.008,1010.0,0.001915
C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,333.15,100.0,0.0066,1005.8,0.002074
C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,338.15,100.0,0.0056,1001.6,0.002255
C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,343.15,100.0,0.0047,997.4,0.002472
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,273.15,100.0,0.1532,1326.81,0.236
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,278.15,100.0,0.1205,1322.77,0.295
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,283.15,100.0,0.0962,1318.75,0.363
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,288.15,100.0,0.078,1314.76,0.439
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,288.15,101.325,0.135,1314.74,0.444
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,293.15,100.0,0.0641,1310.6,0.525
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,293.15,101.325,0.107,1310.1,0.527
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,298.15,100.0,0.05324,1307.0,0.866
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,298.15,101.325,0.0602,1306.1,0.618
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,300.15,100.0,0.04974,1306.0,0.917
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,303.15,100.0,0.0448,1302.7,0.722
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,303.15,101.325,0.05049,1302.3,0.719
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,306.15,100.0,0.04074,1301.0,1.09
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,308.15,101.325,0.04265,1298.5,0.839
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,312.15,100.0,0.03383,1296.0,1.27
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,313.15,100.0,0.0327,1294.8,0.959
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,313.15,101.325,0.03657,1294.6,0.958
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,318.15,100.0,0.02842,1292.0,1.47
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,318.15,101.325,0.03165,1290.7,1.084
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,323.15,100.0,0.0247,1287.1,1.231
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,323.15,101.325,0.02747,1286.9,1.22
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,324.15,100.0,0.02415,1287.0,1.68
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,328.15,101.325,0.02407,1283.1,1.362
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,330.15,100.0,0.02073,1283.0,1.91
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,333.15,100.0,0.01919,1279.4,1.538
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,333.15,101.325,0.02123,1279.3,1.521
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,336.15,100.0,0.01794,1278.0,2.16
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,343.15,100.0,0.0153,1271.8,1.865
FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,348.15,100.0,0.01377,1269.0,2.69
