Temperature/K,Pressure/kPa,Specific_density[Liquid]/kg/m3,cmp1ID,cmp1name,SMILES,Viscosity[Liquid]/Pa&#8226;s,Electrical_conductivity[Liquid]/S/m
303,101.325,1384.0,ABbjbS,"1,1,3,3-tetramethyl-4-butylguanidinium bromotrichloroferrate(III)",CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.087,0.1115
313,101.325,1365.0,ABbjbS,"1,1,3,3-tetramethyl-4-butylguanidinium bromotrichloroferrate(III)",CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.05302,0.1157
278,101.325,1556.0,ACgpEt,1-butyl-3-methylimidazolium tetrathiocyanatomercurate(II),C[N+]1C=CN(CCCC)C=1.[Hg-2](SC#N)(SC#N)(SC#N)(SC#N),0.314,0.1389
288,101.325,1548.0,ACgpEt,1-butyl-3-methylimidazolium tetrathiocyanatomercurate(II),C[N+]1C=CN(CCCC)C=1.[Hg-2](SC#N)(SC#N)(SC#N)(SC#N),0.1646,0.253
298,101.325,1539.0,ACgpEt,1-butyl-3-methylimidazolium tetrathiocyanatomercurate(II),C[N+]1C=CN(CCCC)C=1.[Hg-2](SC#N)(SC#N)(SC#N)(SC#N),0.0958,0.423
308,101.325,1530.0,ACgpEt,1-butyl-3-methylimidazolium tetrathiocyanatomercurate(II),C[N+]1C=CN(CCCC)C=1.[Hg-2](SC#N)(SC#N)(SC#N)(SC#N),0.0607,0.639
318,101.325,1522.0,ACgpEt,1-butyl-3-methylimidazolium tetrathiocyanatomercurate(II),C[N+]1C=CN(CCCC)C=1.[Hg-2](SC#N)(SC#N)(SC#N)(SC#N),0.041,0.91
338,101.325,1504.0,ACgpEt,1-butyl-3-methylimidazolium tetrathiocyanatomercurate(II),C[N+]1C=CN(CCCC)C=1.[Hg-2](SC#N)(SC#N)(SC#N)(SC#N),0.02181,1.606
348,101.325,1496.0,ACgpEt,1-butyl-3-methylimidazolium tetrathiocyanatomercurate(II),C[N+]1C=CN(CCCC)C=1.[Hg-2](SC#N)(SC#N)(SC#N)(SC#N),0.01683,2.02
358,101.325,1487.0,ACgpEt,1-butyl-3-methylimidazolium tetrathiocyanatomercurate(II),C[N+]1C=CN(CCCC)C=1.[Hg-2](SC#N)(SC#N)(SC#N)(SC#N),0.01336,2.49
368,101.325,1478.0,ACgpEt,1-butyl-3-methylimidazolium tetrathiocyanatomercurate(II),C[N+]1C=CN(CCCC)C=1.[Hg-2](SC#N)(SC#N)(SC#N)(SC#N),0.01087,3.08
328,101.325,1513.0,ACgpEt,1-butyl-3-methylimidazolium tetrathiocyanatomercurate(II),C[N+]1C=CN(CCCC)C=1.[Hg-2](SC#N)(SC#N)(SC#N)(SC#N),0.02928,1.232
