Temperature/K,Pressure/kPa,Specific_density[Liquid]/kg/m3,cmp1ID,cmp1name,SMILES,Viscosity[Liquid]/Pa&#8226;s,Electrical_conductivity[Liquid]/S/m
303,101.325,1056.7,AArQHq,N-(2-hydroxyethyl)benzenaminium butyrate,C(CCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0181,0.000469
293,101.325,1408.0,ABfRtu,1-butyl-3-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)CC,0.0547,0.41
308,101.325,1052.4,AArQHq,N-(2-hydroxyethyl)benzenaminium butyrate,C(CCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.014,0.000529
333,101.325,1005.8,AAwlkd,N-(2-hydroxyethyl)benzenaminium hexanoate,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0066,0.002074
343,101.325,997.4,AAwlkd,N-(2-hydroxyethyl)benzenaminium hexanoate,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0047,0.002472
328,101.325,1010.0,AAwlkd,N-(2-hydroxyethyl)benzenaminium hexanoate,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.008,0.001915
313,101.325,1027.0,AAuBND,N-(2-hydroxyethyl)benzenaminium pentanoate,C(CCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0145,0.000956
293,101.325,1042.8,AAuBND,N-(2-hydroxyethyl)benzenaminium pentanoate,C(CCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0438,0.000504
298,101.325,1038.8,AAuBND,N-(2-hydroxyethyl)benzenaminium pentanoate,C(CCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0339,0.000603
303,101.325,1034.9,AAuBND,N-(2-hydroxyethyl)benzenaminium pentanoate,C(CCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0248,0.000706
308,101.325,1031.0,AAuBND,N-(2-hydroxyethyl)benzenaminium pentanoate,C(CCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0186,0.000843
323,101.325,1019.2,AAuBND,N-(2-hydroxyethyl)benzenaminium pentanoate,C(CCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0092,0.001255
318,101.325,1023.1,AAuBND,N-(2-hydroxyethyl)benzenaminium pentanoate,C(CCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0114,0.001095
328,101.325,1015.2,AAuBND,N-(2-hydroxyethyl)benzenaminium pentanoate,C(CCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0075,0.001414
333,101.325,1011.3,AAuBND,N-(2-hydroxyethyl)benzenaminium pentanoate,C(CCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0062,0.001612
338,101.325,1007.4,AAuBND,N-(2-hydroxyethyl)benzenaminium pentanoate,C(CCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0053,0.001829
343,101.325,1003.5,AAuBND,N-(2-hydroxyethyl)benzenaminium pentanoate,C(CCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0045,0.002076
298,101.325,886.5,ABZlMF,"N-methyl-N,N-dioctyl-1-octanaminium chloride",CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],2.391,0.0026
303,101.325,883.4,ABZlMF,"N-methyl-N,N-dioctyl-1-octanaminium chloride",CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],1.602,0.0035
313,101.325,877.4,ABZlMF,"N-methyl-N,N-dioctyl-1-octanaminium chloride",CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],0.77,0.0066
308,101.325,880.4,ABZlMF,"N-methyl-N,N-dioctyl-1-octanaminium chloride",CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],1.067,0.0049
318,101.325,874.4,ABZlMF,"N-methyl-N,N-dioctyl-1-octanaminium chloride",CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],0.57,0.0087
338,101.325,1001.6,AAwlkd,N-(2-hydroxyethyl)benzenaminium hexanoate,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0056,0.002255
323,101.325,1014.2,AAwlkd,N-(2-hydroxyethyl)benzenaminium hexanoate,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0099,0.001734
298,101.325,1035.5,AAwlkd,N-(2-hydroxyethyl)benzenaminium hexanoate,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0397,0.000954
313,101.325,1048.2,AArQHq,N-(2-hydroxyethyl)benzenaminium butyrate,C(CCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.011,0.000583
298,101.325,1060.9,AArQHq,N-(2-hydroxyethyl)benzenaminium butyrate,C(CCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.024,0.000435
323,101.325,1039.8,AArQHq,N-(2-hydroxyethyl)benzenaminium butyrate,C(CCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0073,0.000786
328,101.325,1035.6,AArQHq,N-(2-hydroxyethyl)benzenaminium butyrate,C(CCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0061,0.000897
333,101.325,1031.5,AArQHq,N-(2-hydroxyethyl)benzenaminium butyrate,C(CCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0051,0.001008
338,101.325,1027.3,AArQHq,N-(2-hydroxyethyl)benzenaminium butyrate,C(CCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0044,0.001115
343,101.325,1023.1,AArQHq,N-(2-hydroxyethyl)benzenaminium butyrate,C(CCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0038,0.001289
313,101.325,1059.7,AAogDH,N-(2-hydroxyethyl)benzenaminium propionate,C(CC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0103,0.000438
293,101.325,1077.5,AAogDH,N-(2-hydroxyethyl)benzenaminium propionate,C(CC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0295,0.000287
298,101.325,1073.0,AAogDH,N-(2-hydroxyethyl)benzenaminium propionate,C(CC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0219,0.000308
303,101.325,1068.6,AAogDH,N-(2-hydroxyethyl)benzenaminium propionate,C(CC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0166,0.000353
308,101.325,1064.1,AAogDH,N-(2-hydroxyethyl)benzenaminium propionate,C(CC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.013,0.000399
