src,trg,Temperature,DynViscosity,Density,ElecConductivity
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,333,0.01888,1340.6,0.73
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,273,0.298,1394.5,0.0584
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,298,0.0709,1372.4,0.2178
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,313,0.038,1358.8,0.396
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,283,0.1567,1385.9,0.1067
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,373,0.0072,1303.7,1.729
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,293,0.0904,1376.9,0.1773
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,353,0.01115,1322.3,1.177
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],318,0.04225,1222.56,0.86
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,313,0.0535,1190.53,0.619
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,318,0.0426,1187.04,0.772
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,303,0.0846,1197.75,0.422
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,308,0.065,1194.1,0.52
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],308,0.0626,1229.26,0.61
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],303,0.0777,1232.67,0.485
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],313,0.0511,1225.82,0.72
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],288,0.1683,1243.09,0.202
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],283,0.2291,1246.53,0.139
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],298,0.0988,1236.02,0.382
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,288,0.182,1208.68,0.1987
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,333,0.0255,1176.38,1.1769
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,328,0.0295,1179.94,1.0156
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,323,0.0356,1183.55,0.902
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,348,0.0162,1165.44,1.6987
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,353,0.0139,1161.93,1.8633
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,283,0.264,1212.38,0.1556
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,338,0.0213,1172.51,1.3692
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,343,0.0184,1168.8,1.5201
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,293,0.142,1205.02,0.2613
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],293,0.128,1239.48,0.291
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,298,0.108,1201.36,0.341
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],343,0.01891,1205.47,1.747
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],298,0.2132,1207.61,0.099
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],293,0.289,1210.96,0.104
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],343,0.02999,1177.07,1.008
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],323,0.0622,1190.77,0.522
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],328,0.061,1187.39,0.626
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],333,0.0422,1183.99,0.741
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],338,0.02172,1208.84,1.538
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],353,0.01468,1198.67,2.18
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],348,0.0166,1202.12,1.95
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],323,0.03538,1219.12,1.01
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],328,0.0294,1215.79,1.178
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],313,0.0968,1197.34,0.348
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],308,0.1237,1200.72,0.276
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],303,0.1609,1204.22,0.217
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],318,0.0771,1194.11,0.43
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],333,0.02515,1212.33,1.351
OCC[NH2+]CCO.[O-]C=O,OCC[NH2+]CCO.[O-]C=O,298,0.95,1194.4,0.055
OCC[NH2+]CCO.[O-]C=O,OCC[NH2+]CCO.[O-]C=O,308,0.52,1187.4,0.106
OCC[NH2+]CCO.[O-]C=O,OCC[NH2+]CCO.[O-]C=O,318,0.269,1180.8,0.187
OCC[NH2+]CCO.[O-]C=O,OCC[NH2+]CCO.[O-]C=O,328,0.152,1174.1,0.307
OCC[NH2+]CCO.[O-]C=O,OCC[NH2+]CCO.[O-]C=O,338,0.092,1167.3,0.453
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,313,0.0291,1423.0,0.6839
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,303,0.0422,1432.0,0.4876
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,333,0.0155,1404.0,1.242
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,323,0.0207,1414.0,0.81
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,293,0.0635,1442.0,0.329
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,353,0.00953,1386.0,1.977
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,363,0.00793,1377.0,2.033
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,343,0.012,1395.0,1.592
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,373,0.00634,1367.0,2.377
C(C)N1C=[N+](C=C1)C.C(#N)[C-](C#N)C#N,C(C)N1C=[N+](C=C1)C.C(#N)[C-](C#N)C#N,313,0.0098,1070.6,1.25
C(C)N1C=[N+](C=C1)C.C(#N)[C-](C#N)C#N,C(C)N1C=[N+](C=C1)C.C(#N)[C-](C#N)C#N,283,0.025,1092.6,1.0
C(C)N1C=[N+](C=C1)C.C(#N)[C-](C#N)C#N,C(C)N1C=[N+](C=C1)C.C(#N)[C-](C#N)C#N,303,0.013,1077.7,0.93
C(C)N1C=[N+](C=C1)C.C(#N)[C-](C#N)C#N,C(C)N1C=[N+](C=C1)C.C(#N)[C-](C#N)C#N,333,0.0065,1056.9,2.12
CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],333,0.05162,1199.0,0.755
CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],313,0.1364,1212.6,0.325
CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],303,0.247,1219.6,0.185
CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],293,0.515,1226.4,0.096
CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],323,0.0794,1205.8,0.51
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],363,0.01169,1194.3,2.68
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],373,0.00952,1187.8,3.29
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,313,0.12,1352.0,0.301
C(CCCCCCCCCCCCC)[P+](CCCCCC)(CCCCCC)CCCCCC.[N-](C#N)C#N,C(CCCCCCCCCCCCC)[P+](CCCCCC)(CCCCCC)CCCCCC.[N-](C#N)C#N,283,1.1449,908.6,0.32
CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,293,0.01682,1105.9,2.532
CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,333,0.00671,1079.8,6.189
CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,353,0.004302,1067.0,8.464
CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,313,0.01041,1092.7,4.196
CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,298,0.0143,1102.6,2.915
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,353,0.0255,1320.6,1.1345
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,373,0.0148,1304.9,2.0
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,298,0.271,1366.0,0.1437
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,293,0.37,1370.2,0.11
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,283,0.76,1378.6,0.059
CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,303,0.0243,1057.9,1.299
CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,333,0.0102,1039.0,2.799
CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,313,0.0177,1051.5,1.742
CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,323,0.0133,1045.2,2.245
CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,353,0.0067,1026.8,4.031
CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,343,0.0082,1032.9,3.396
CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,293,0.0367,1064.4,0.923
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,278,1.119,1382.8,0.0385
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,333,0.0492,1337.0,0.629
CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,278,1.478,1117.16,0.01484
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],CCCCN1C=C[N+](=C1)C.CC(=O)[O-],293,0.562,1055.7,0.0331
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],CCCCN1C=C[N+](=C1)C.CC(=O)[O-],313,0.1366,1043.3,0.1361
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],CCCCN1C=C[N+](=C1)C.CC(=O)[O-],333,0.0488,1031.2,0.3598
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,283,0.1061,1450.9,0.207
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,298,0.0521,1436.8,0.387
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,273,0.192,1460.4,0.118
CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,283,0.982,1113.71,0.0218
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],CCCCN1C=C[N+](=C1)C.CC(=O)[O-],298,0.375,1052.6,0.042
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],CCCCN1C=C[N+](=C1)C.CC(=O)[O-],283,1.403,1061.9,0.0131
CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,298,0.341,1103.47,0.0576
CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,313,0.1441,1093.31,0.1317
CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,333,0.0578,1079.64,0.294
CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,353,0.0281,1066.28,0.581
CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,293,0.473,1106.78,0.0427
[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),313,0.04842,1367.16,0.294
[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),323,0.03304,1358.2,0.423
[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),318,0.03974,1362.68,0.355
[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),308,0.05986,1371.74,0.233
[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),303,0.0752,1376.36,0.187
[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),298,0.0962,1381.03,0.146
[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),293,0.1256,1385.68,0.113
[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),283,0.229,1395.21,0.062
[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),333,0.02364,1349.49,0.581
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,308,0.0347,1427.92,0.5812
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,328,0.01805,1408.32,1.075
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,318,0.0242,1418.06,0.7955
[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),328,0.02779,1353.85,0.5
[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),288,0.168,1390.46,0.086
[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),338,0.0203,1345.17,0.672
C(C)N1C=[N+](C=C1)C.CC1=CC=C(C=C1)S(=O)(=O)[O-],C(C)N1C=[N+](C=C1)C.CC1=CC=C(C=C1)S(=O)(=O)[O-],318,0.352,1208.7,0.128
C(C)N1C=[N+](C=C1)C.CC1=CC=C(C=C1)S(=O)(=O)[O-],C(C)N1C=[N+](C=C1)C.CC1=CC=C(C=C1)S(=O)(=O)[O-],328,0.1737,1202.6,0.237
CN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CN1C=C[N+](=C1)C.COS(=O)(=O)[O-],328,0.02367,1307.4,1.083
CN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CN1C=C[N+](=C1)C.COS(=O)(=O)[O-],318,0.03252,1313.8,0.821
C(C)N1C=[N+](C=C1)C.CC1=CC=C(C=C1)S(=O)(=O)[O-],C(C)N1C=[N+](C=C1)C.CC1=CC=C(C=C1)S(=O)(=O)[O-],358,0.03981,1184.9,0.843
C(C)N1C=[N+](C=C1)C.CC1=CC=C(C=C1)S(=O)(=O)[O-],C(C)N1C=[N+](C=C1)C.CC1=CC=C(C=C1)S(=O)(=O)[O-],348,0.0599,1190.7,0.635
C(C)N1C=[N+](C=C1)C.CC1=CC=C(C=C1)S(=O)(=O)[O-],C(C)N1C=[N+](C=C1)C.CC1=CC=C(C=C1)S(=O)(=O)[O-],338,0.0972,1196.6,0.419
CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,313,0.0261,1462.1,0.971
CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,303,0.0374,1471.1,0.71
CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,333,0.0145,1440.1,1.53
CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,308,0.0311,1466.8,0.765
