src,trg,Temperature,DynViscosity,Density,ElecConductivity
C(CCC)N1C(=[N+](C=C1)C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(CCC)N1C(=[N+](C=C1)C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,308,0.063,1410.1,0.351
C(C)N1C=[N+](C=C1)C.S(=O)(=O)(OCCCCCCCC)[O-],C(C)N1C=[N+](C=C1)C.S(=O)(=O)(OCCCCCCCC)[O-],283,1.815,1103.9,0.017
C(C)N1C=[N+](C=C1)C.S(=O)(=O)(OCCCCCCCC)[O-],C(C)N1C=[N+](C=C1)C.S(=O)(=O)(OCCCCCCCC)[O-],288,1.207,1100.5,0.025
C(C)N1C=[N+](C=C1)C.S(=O)(=O)(OCCCCCCCC)[O-],C(C)N1C=[N+](C=C1)C.S(=O)(=O)(OCCCCCCCC)[O-],278,2.822,1107.4,0.012
C(CCC)N1C(=[N+](C=C1)C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(CCC)N1C(=[N+](C=C1)C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,293,0.1342,1424.0,0.178
C(CCC)N1C(=[N+](C=C1)C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(CCC)N1C(=[N+](C=C1)C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,323,0.03445,1396.4,0.599
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,338,0.0411,1335.4,0.737
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,368,0.0165,1310.8,1.825
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,358,0.0216,1319.1,1.44
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,318,0.0935,1351.6,0.362
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,328,0.0604,1343.5,0.531
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,278,0.1404,1456.1,0.158
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,348,0.0293,1327.3,0.991
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,343,0.0351,1331.3,0.858
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,308,0.158,1359.7,0.232
C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,318,0.0114,1424.0,2.61
C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,278,0.0375,1460.0,0.88
C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,283,0.0312,1456.0,1.05
C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,298,0.0192,1442.0,1.64
C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,308,0.0146,1433.0,2.1
C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,288,0.0262,1451.0,1.23
C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,273,0.0459,1465.0,0.73
C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,358,0.00532,1388.0,5.19
C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,348,0.00622,1397.0,4.47
C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,338,0.00745,1406.0,3.79
C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,328,0.00911,1415.0,3.18
C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)N1C=[N+](C=C1)C.FS(=O)(=O)[N-]S(=O)(=O)F,368,0.00465,1380.0,5.97
CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],323,0.0445,1222.9,0.821
