318,101.325,1364.9,ABfwPV,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.06724,0.337,bis(trifluoromethylsulfonyl)azanide;1-butyl-1-methylpiperidin-1-ium
323,101.325,1054.91,ABHhOR,1-decyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCCCCCCCN1C=C[N+](=C1)C,0.147,0.124,1-decyl-3-methylimidazol-3-ium;tetrafluoroborate
323,101.325,1463.53,AAzJxT,1-butyl-3-methylimidazolium iodide,CCCCN1C=C[N+](=C1)C.[I-],0.134,0.18,1-butyl-3-methylimidazol-3-ium;iodide
298,101.325,1144.2,AAyqfr,1-ethyl-3-methylimidazolium diethyl phosphate,CCN1C=C[N+](=C1)C.CCOP(=O)([O-])OCC,0.397,0.09,diethylphosphate;1-ethyl-3-methylimidazol-3-ium
318,101.325,1685.46,ACCxgV,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,CCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,0.02898,1.018,"1-ethyl-3-methylimidazol-3-ium;tetrafluoro-tris(1,1,2,2,2-pentafluoroethyl)phosphanuide"
293,101.325,1333.6,ABmsqp,1-octylpyridinium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCCCC)[N+]1=CC=CC=C1,0.134,0.056,bis(trifluoromethylsulfonyl)azanide;1-octylpyridin-1-ium
313,101.325,1024.59,AArYPq,1-ethyl-3-methylimidazolium tetracyanoborate,[B-](C#N)(C#N)(C#N)C#N.CCN1C=C[N+](=C1)C,0.01139,2.379,1-ethyl-3-methylimidazol-3-ium;tetracyanoboranuide
348,101.325,1308.0,ABEdNY,1-hexyl-3-methylimidazolium iodide,CCCCCCN1C=C[N+](=C1)C.[I-],0.0738,0.4,1-hexyl-3-methylimidazol-3-ium;iodide
303,101.325,1245.17,ABrFez,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+](CCCCCCCC)(CC)CC,0.1789,0.078,bis(trifluoromethylsulfonyl)azanide;triethyl(octyl)azanium
303,101.325,1183.71,ACBupg,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[N+](CCCCCCCCCCCC)(CC)CC,0.249,0.039,bis(trifluoromethylsulfonyl)azanide;dodecyl(triethyl)azanium
318,101.325,1272.08,ABlkNk,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+](CCCCCC)(CC)CC,0.0699,0.247,bis(trifluoromethylsulfonyl)azanide;triethyl(hexyl)azanium
298,101.325,1000.0,ABCtlp,1-methyl-3-octylimidazolium tricyanomethanide,CCCCCCCCN1C=C[N+](=C1)C.C(=C(C#N)C#N)=[N-],0.06,0.18,"2,2-dicyanoethenylideneazanide;1-methyl-3-octylimidazol-1-ium"
348,101.325,1413.77,ABYpkj,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[S+](CC)CC,0.0085,2.457,bis(trifluoromethylsulfonyl)azanide;triethylsulfanium
343,101.325,1367.3,ABdzFU,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[N+](CCOC)(C)CC,0.0145,1.049,bis(trifluoromethylsulfonyl)azanide;diethyl-(2-methoxyethyl)-methylazanium
348,101.325,1180.2,ABwaKq,"N,N,N-triethyl-1-decanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.C(C)[N+](CCCCCCCCCC)(CC)CC,0.02836,0.367,"decyl(triethyl)azanium;1,1,1-trifluoro-N-(trifluoromethylsulfonyl)methanesulfonamide"
303,101.325,1396.46,ABYLXV,"N-ethyl-N,N-dimethyl-1-propanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.C(C)[N+](CCC)(C)C,0.0534,0.281,"ethyl-dimethyl-propylazanium;1,1,1-trifluoro-N-(trifluoromethylsulfonyl)methanesulfonamide"
343,101.325,1216.7,ABrioD,Tributylmethylphosphonium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[P+](C)(CCCC)CCCC,0.0275,0.405,bis(trifluoromethylsulfonyl)azanide;tributyl(methyl)phosphanium
308,101.325,1236.2,ABuTAE,triethyloctylphosphonium bis(trifluoromethylsulfonyl)imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[P+](CCCCCCCC)(CC)CC,0.072,0.141,bis(trifluoromethylsulfonyl)azanide;triethyl(octyl)phosphanium
293,101.325,1460.0,ABdqaa,1-butyltetrahydrothiophenium bis(trifluoromethylsulfonyl)imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[S+]1CCCC1,0.117,0.32,bis(trifluoromethylsulfonyl)azanide;1-butylthiolan-1-ium
343,101.325,1320.0,ABkmPE,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C(=[N+](C=C1)C)C,0.022,0.696,"bis(trifluoromethylsulfonyl)azanide;1-hexyl-2,3-dimethylimidazol-3-ium"
293,101.325,1496.1,ABZxAT,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C(=[N+](C=C1)C)C,0.0881,0.32,"bis(trifluoromethylsulfonyl)azanide;1-ethyl-2,3-dimethylimidazol-3-ium"
293,101.325,1442.1,ABchGr,1-isobutyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C(C)C)N1C=[N+](C=C1)C,0.1074,0.26,bis(trifluoromethylsulfonyl)azanide;1-methyl-3-(2-methylpropyl)imidazol-1-ium
298,101.325,1237.2,ABIrjH,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],0.151,0.73,1-hexyl-3-methylimidazol-3-ium;trifluoromethanesulfonate
358,101.325,1499.9,AAwYAG,1-methyl-3-propylimidazolium iodide,CCCN1C=C[N+](=C1)C.[I-],0.035,1.26,1-methyl-3-propylimidazol-1-ium;iodide
293,101.325,1237.7,ABCWrJ,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(trifluoromethyl)borate",CC[N+](C)(CC)CCOC.[B-](F)(F)(F)C(F)(F)(F),0.133,0.249,diethyl-(2-methoxyethyl)-methylazanium;trifluoro(trifluoromethyl)boranuide
308,101.325,1171.0,AAsqEl,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",[B-](F)(F)(F)F.CC[N+](C)(CC)CCOC,0.222,0.347,diethyl-(2-methoxyethyl)-methylazanium;tetrafluoroborate
318,101.325,1521.1,ABXCUI,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,FC(C(=O)[O-])(C(C(C(F)(F)F)(F)F)(F)F)F.OCCN1C=[N+](C=C1)C,0.1908,0.114,"2-(3-methylimidazol-3-ium-1-yl)ethanol;2,2,3,3,4,4,5,5,5-nonafluoropentanoate"
283,101.325,1636.1,ABdyBr,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,FC(C(C(C(S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.OCCN1C=[N+](C=C1)C,3.022,0.0131,"2-(3-methylimidazol-3-ium-1-yl)ethanol;1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate"
293,101.325,1070.3,ABLIKV,tributylmethylphosphonium methyl sulfate,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],0.719,0.00749,methylsulfate;tributyl(methyl)phosphanium
348,101.325,1454.5,ABWFpV,diethylmethylsulfonium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[S+](C)CC,0.01,2.427,bis(trifluoromethylsulfonyl)azanide;diethyl(methyl)sulfanium
283,101.325,1298.3,ABsNTn,"3,5-dimethyl-1-octylpyridinium bis(trifluoromethylsulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CC=1C=[N+](C=C(C1)C)CCCCCCCC,0.33,0.0302,"bis(trifluoromethylsulfonyl)azanide;3,5-dimethyl-1-octylpyridin-1-ium"
323,101.325,1359.2,ABhYWm,"1-butyl-3,5-dimethylpyridinium bis(trifluoromethylsulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)[N+]1=CC(=CC(=C1)C)C,0.026,0.532,"bis(trifluoromethylsulfonyl)azanide;1-butyl-3,5-dimethylpyridin-1-ium"
293,101.325,1017.5,AAoDJf,1-butyl-1-methylpyrrolidinium dicyanamide,CCCC[N+]1(CCCC1)C.C(=[N-])=NC#N,0.0388,1.122,1-butyl-1-methylpyrrolidin-1-ium;cyanoiminomethylideneazanide
333,101.325,1533.1,ABUcKM,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CN1C=[N+](C=C1)C,0.01349,2.196,"bis(trifluoromethylsulfonyl)azanide;1,3-dimethylimidazol-1-ium"
308,101.325,1563.9,ABaRrp,1-(2-hydroxyethyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.OCCN1C=[N+](C=C1)C,0.0539,0.481,bis(trifluoromethylsulfonyl)azanide;2-(3-methylimidazol-3-ium-1-yl)ethanol
338,101.325,1570.2,ABZSvD,3-(cyanomethyl)-1-methyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(#N)C[N+]1=CN(C=C1)C,0.0397,0.644,bis(trifluoromethylsulfonyl)azanide;2-(3-methylimidazol-1-ium-1-yl)acetonitrile
283,101.325,1365.3,ABkImk,1-hexyl-4-methylpyridinium bis(trifluoromethanesulfonyl)imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)[N+]1=CC=C(C=C1)C,0.1816,0.0839,bis(trifluoromethylsulfonyl)azanide;1-hexyl-4-methylpyridin-1-ium
303,101.325,1149.2,AApeSd,1-(3-cyanopropyl)-3-methylimidazolium cyanocyanamide,C(#N)NC#N.C(#N)CCCN1C=[N+](C=C1)C,0.119,0.64,cyanocyanamide;4-(3-methylimidazol-3-ium-1-yl)butanenitrile
358,101.325,924.5,ABohNC,methyltrioctylammonium trifluoroacetate,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.C(=O)(C(F)(F)F)[O-],0.05333,0.04441,"methyl(trioctyl)azanium;2,2,2-trifluoroacetate"
293,101.325,1389.1,ABhYDf,"1-butyl-2,3-dimethylpyridinium bis(trifluoromethylsulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)[N+]1=C(C(=CC=C1)C)C,0.186,0.1163,"bis(trifluoromethylsulfonyl)azanide;1-butyl-2,3-dimethylpyridin-1-ium"
353,101.325,1036.0,AAmuiM,1-butylpyridinium dicyanamide,[N-](C#N)C#N.C(CCC)[N+]1=CC=CC=C1,0.007129,4.927,1-butylpyridin-1-ium;dicyanoazanide
333,101.325,1077.1,ABPBrU,1-ethyl-3-methylimidazolium decyl sulfate,S(=O)(=O)(OCCCCCCCCCC)[O-].C(C)N1C=[N+](C=C1)C,0.1289,0.202,decylsulfate;1-ethyl-3-methylimidazol-3-ium
313,101.325,1279.7,AArFqW,1-ethyl-3-methylimidazolium trifluoroacetate,CCN1C=C[N+](=C1)C.C(=O)(C(F)(F)F)[O-],0.0199,1.6,"1-ethyl-3-methylimidazol-3-ium;2,2,2-trifluoroacetate"
353,101.325,996.2,AAlStB,1-methyl-1-propylpyrrolidinium dicyanamide,CCC[N+]1(CCCC1)C.C(=[N-])=NC#N,0.0087,5.0,cyanoiminomethylideneazanide;1-methyl-1-propylpyrrolidin-1-ium
313,101.325,1289.0,ACqNOX,tributyloctylphosphonium tris(pentafluoroethyl)trifluorophosphate,[P+](CCCC)(CCCC)(CCCC)(CCCCCCCC).[P-](F)(C(F)(F)C(F)(F)(F))(F)(C(F)(F)C(F)(F)(F))(F)(C(F)(F)C(F)(F)(F)),0.1384,0.052,"tetrakis(1,1,2,2,2-pentafluoroethyl)phosphanuide;tributyl(octyl)phosphanium"
298,101.325,1492.0,ADjMNA,"tributyl(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)phosphonium tris(perfluoroethyl)trifluorophosphate",[P+](CCCC)(CCCC)(CCCC)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F)).[P-](F)(C(F)(F)C(F)(F)(F))(F)(C(F)(F)C(F)(F)(F))(F)(C(F)(F)C(F)(F)(F)),0.446,0.013,"tetrakis(1,1,2,2,2-pentafluoroethyl)phosphanuide;tributyl(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)phosphanium"
363,101.325,1019.0,ACnhqJ,trihexyltetradecylphosphonium nonafluoropentanoate,FC(C(C(C(C(=O)[O-])(F)F)(F)F)(F)F)(F)F.C(CCCCC)[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC,0.0235,0.0528,"2,2,3,3,4,4,5,5,5-nonafluoropentanoate;trihexyl(tetradecyl)phosphanium"
358,101.325,1103.0,ADaFVX,trihexyltetradecylphosphonium heptadecafluorononanoate,FC(C(C(C(C(C(C(C(C(=O)[O-])(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F.C(CCCCC)[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC,0.0384,0.0214,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononanoate;trihexyl(tetradecyl)phosphanium"
318,101.325,1158.0,ADhBQn,trihexyltetradecylphosphonium heptadecafluorooctanesulfonate,FC(C(C(C(C(C(C(C(S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F.C(CCCCC)[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC,0.476,0.0024,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonate;trihexyl(tetradecyl)phosphanium"
353,101.325,1039.0,ACudsb,trihexyltetradecylphosphonium nonafluorobutanesulfonate,FC(C(C(C(S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.C(CCCCC)[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC,0.0515,0.0273,"1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate;trihexyl(tetradecyl)phosphanium"
333,101.325,901.4,ABbmnq,tributyl(octyl)phosphonium acetylacetonate,[P+](CCCC)(CCCC)(CCCC)(CCCCCCCC).CC(=O)[CH-]C(=O)C,0.0383,0.01649,"pentane-2,4-dione;tributyl(octyl)phosphanium"
338,101.325,910.2,ABjXkJ,"tributyl(octyl)phosphonium 4,4-dimethyl-2,6-dioxocyclohexan-1-ide",CC1(CC([CH-]C(C1)=O)=O)C.C(CCC)[P+](CCCCCCCC)(CCCC)CCCC,0.0271,0.01046,"5,5-dimethylcyclohexane-1,3-dione;tributyl(octyl)phosphanium"
328,101.325,944.9,ABzfwj,"tributyl(octyl)phosphonium 1,3-dioxo-1,3-diphenylpropan-2-ide",O=C([CH-]C(C1=CC=CC=C1)=O)C1=CC=CC=C1.C(CCC)[P+](CCCCCCCC)(CCCC)CCCC,0.0276,0.01517,"1,3-diphenylpropane-1,3-dione;tributyl(octyl)phosphanium"
328,101.325,966.8,ABketd,"tributyl(octyl)phosphonium 1,3-dioxo-2,3-dihydro-1H-inden-2-ide",O=C1[CH-]C(C2=CC=CC=C12)=O.C(CCC)[P+](CCCCCCCC)(CCCC)CCCC,0.1123,0.0117,"inden-2-ide-1,3-dione;tributyl(octyl)phosphanium"
313,101.325,1152.2,AAuALF,4-ethyl-4-methylmorpholin-4-ium ethylphosphonate,C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C.C(C)[N+]1(CCOCC1)C,0.0702,0.135,ethyl-dioxido-oxo-λ5-phosphane;4-ethyl-4-methylmorpholin-4-ium
323,101.325,1079.5,AAtgmT,1-ethyl-1-methylpiperidin-1-ium ethyl phosphonate,P(OCC)([O-])=O.C(C)[N+]1(CCCCC1)C,0.02511,0.155,ethoxyphosphinate;1-ethyl-1-methylpiperidin-1-ium
293,101.325,972.2,ABaAxc,1-methyl-1-octylpiperidin-1-ium octyl phosphonate,P(OCCCCCCCC)([O-])=O.C[N+]1(CCCCC1)CCCCCCCC,0.0458,0.03,1-methyl-1-octylpiperidin-1-ium;octoxyphosphinate
301,101.325,1011.5,ABPKLU,1-hexyl-1-methylpiperidin-1-ium hexylphosphonate,C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)[N+]1(CCCCC1)C,0.174,0.044,hexyl-dioxido-oxo-λ5-phosphane;1-hexyl-1-methylpiperidin-1-ium
311,101.325,980.5,ABXPoL,N-methyl-N-octylpyrrolidinium octylphosphonate,C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC.C[N+]1(CCCC1)CCCCCCCC,0.0465,0.044,1-methyl-1-octylpyrrolidin-1-ium;octyl-dioxido-oxo-λ5-phosphane
323,101.325,960.66,ABaTob,4-methyl-4-octylmorpholin-4-ium octylphosphonate,C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC.C[N+]1(CCOCC1)CCCCCCCC,0.01738,0.035,4-methyl-4-octylmorpholin-4-ium;octyl-dioxido-oxo-λ5-phosphane
348,101.325,1182.0,ABTCNz,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,FS(=O)(=O)[N-]S(=O)(=O)F.C(C)[P+](CCCCC)(CC)CC,0.01452,1.76,bis(fluorosulfonyl)azanide;triethyl(pentyl)phosphanium
283,101.325,1370.3,ABJVJm,1-butyl-3-methylimidazolium bis(fluorosulfonyl)imide,CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,0.0585,0.462,1-butyl-3-methylimidazol-3-ium;N-fluorosulfonylsulfamoylfluoride
278,101.325,1534.0,ABvtXp,1-butyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,0.382,0.046,"bis(1,1,2,2,2-pentafluoroethylsulfonyl)azanide;1-butyl-3-methylimidazol-3-ium"
321,101.325,1067.48,ABBlSX,1-butyl-1-methylpyrrolidin-1-ium butyl phosphonate,P(OCCCC)([O-])=O.C(CCC)[N+]1(CCCC1)C,0.0749,0.068,butoxyphosphinate;1-butyl-1-methylpyrrolidin-1-ium
318,101.325,1433.7,ABWEla,1-ethyl-3-methylpyridinium perfluoropentanoate,FC(C(=O)[O-])(C(C(C(F)(F)F)(F)F)(F)F)F.C(C)[N+]1=CC(=CC=C1)C,0.0537,0.289,"1-ethyl-3-methylpyridin-1-ium;2,2,3,3,4,4,5,5,5-nonafluoropentanoate"
296,101.325,1124.6,AAqwpG,N-ethyl-N-methylpyrrolidinium ethylphosphonate,C(C)P([O-])([O-])=O.C(C)[N+]1(CCCC1)C.C(C)[N+]1(CCCC1)C,0.251,0.223,ethyl-dioxido-oxo-λ5-phosphane;1-ethyl-1-methylpyrrolidin-1-ium
308,101.325,1047.14,ABEVvP,1-butyl-1-methylpiperidin-1-ium butyl phosphonate,P(OCCCC)([O-])=O.C(CCC)[N+]1(CCCCC1)C,0.051,0.044,butoxyphosphinate;1-butyl-1-methylpiperidin-1-ium
311,101.325,1110.4,ABEpyd,4-butyl-4-methylmorpholin-4-ium butylphosphonate,C(CCC)P([O-])([O-])=O.C(CCC)[N+]1(CCOCC1)C.C(CCC)[N+]1(CCOCC1)C,0.1096,0.108,butyl-dioxido-oxo-λ5-phosphane;4-butyl-4-methylmorpholin-4-ium
316,101.325,1048.6,ABMaXV,N-hexyl-N-methylpyrrolidinium hexylphosphonate,C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCC1)C.C(CCCCC)[N+]1(CCCC1)C,0.1081,0.052,hexyl-dioxido-oxo-λ5-phosphane;1-hexyl-1-methylpyrrolidin-1-ium
303,101.325,1016.7,ABPeev,4-hexyl-4-methylmorpholin-4-ium hexylphosphonate,C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCOCC1)C.C(CCCCC)[N+]1(CCOCC1)C,0.197,0.02,hexyl-dioxido-oxo-λ5-phosphane;4-hexyl-4-methylmorpholin-4-ium
328,101.325,1057.5,AAkoFC,1-methyl-3-propylimidazolium dicyanamide,[N-](C#N)C#N.CN1C=[N+](C=C1)CCC,0.00899,3.721,dicyanoazanide;1-methyl-3-propylimidazol-3-ium
353,101.325,1014.7,AAqImT,3-methyl-1-pentylimidazolium dicyanamide,[N-](C#N)C#N.C[N+]1=CN(C=C1)CCCCC,0.007819,3.015,dicyanoazanide;1-methyl-3-pentylimidazol-1-ium
330,101.325,1118.3,AAeBWF,"1,3-dimethylimidazolium acetate",CC(=O)[O-].CN1C=C[N+](=C1)C,0.0703,0.351,"1,3-dimethylimidazol-1-ium;acetate"
323,101.325,1188.0,AApUWi,3-ethyl-1-methyl-1H-imidazolium L-serinate,N[C@@H](CO)C(=O)[O-].C(C)[N+]1=CN(C=C1)C,0.0805,0.258,(2S)-2-amino-3-hydroxypropanoate;1-ethyl-3-methylimidazol-1-ium
298,101.325,1123.0,AAmQKa,1-ethyl-3-methylimidazolium L-alaninate,N[C@@H](C)C(=O)[O-].C(C)N1C=[N+](C=C1)C,0.1712,0.064,(2S)-2-aminopropanoate;1-ethyl-3-methylimidazol-3-ium
298,101.325,1161.0,AAjgzG,1-ethyl-3-methylimidazolium ammonioacetate,[NH3+]CC(=O)[O-].C(C)N1C=[N+](C=C1)C,0.0615,0.057,2-azaniumylacetate;1-ethyl-3-methylimidazol-3-ium
298,101.325,1142.8,AArQCN,1-ethyl-3-methyl-1H-imidazolium L-prolinate,N1[C@@H](CCC1)C(=O)[O-].C(C)N1C=[N+](C=C1)C,0.426,0.016,1-ethyl-3-methylimidazol-3-ium;(2S)-pyrrolidine-2-carboxylate
353,101.325,1115.8,AAxind,N-hexylethylenediammonium trifluoroacetate,FC(C(=O)[O-])(F)F.C(CCCCC)[NH2+]CC[NH3+].FC(C(=O)[O-])(F)F,0.022,0.272,"2-azaniumylethyl(hexyl)azanium;2,2,2-trifluoroacetate"
328,101.325,1105.0,ABDDdH,N-(2-ethylhexyl)ethylenediammonium trifluoroacetate,FC(C(=O)[O-])(F)F.C(C)C(C[NH2+]CC[NH3+])CCCC.FC(C(=O)[O-])(F)F,0.0828,0.0638,"2-azaniumylethyl(2-ethylhexyl)azanium;2,2,2-trifluoroacetate"
308,101.325,1212.8,ABJzpz,"N1-(2-ethylhexyl)ethane-1,2-diamine trifluoromethanesulfonate",FC(S(=O)(=O)O)(F)F.C(C)C(CNCCN)CCCC,0.404,0.0205,"N'-(2-ethylhexyl)ethane-1,2-diamine;trifluoromethanesulfonicacid"
298,101.325,1291.0,ABjArE,"N-ethyl-N,N-dimethylheptanaminium bis((trifluoromethyl)sulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[N+](CCCCCCC)(C)C,0.1677,0.081,bis(trifluoromethylsulfonyl)azanide;ethyl-heptyl-dimethylazanium
303,101.325,1337.0,ABdgOn,"N,N-dimethyl-N-ethyl-N-pentylammonium bis(trifluoromethylsulfonyl)",CCCCC[N+](C)(C)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.0979,0.1779,bis(trifluoromethylsulfonyl)azanide;ethyl-dimethyl-pentylazanium
353,101.325,1516.5,ABUcfX,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[NH+]C=C1,0.01115,1.714,bis(trifluoromethylsulfonyl)azanide;1-ethylimidazol-3-ium
278,101.325,1609.2,ABZmkS,1-(2-hydroxyethyl)-pyridinium bis(trifluoromethylsulfonyl)imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.OCC[N+]1=CC=CC=C1,0.422,0.066,bis(trifluoromethylsulfonyl)azanide;2-pyridin-1-ium-1-ylethanol
283,101.325,1418.07,ABHjjv,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,FS(=O)(=O)[N-]S(=O)(=O)F.COC[N+]1(CCCC1)C,0.0463,0.659,bis(fluorosulfonyl)azanide;1-(methoxymethyl)-1-methylpyrrolidin-1-ium
298,101.325,1009.6,AAfAom,triethylammonium acetate,CCN(CC)CC.CC(=O)O,0.0153,0.341,"aceticacid;N,N-diethylethanamine"
353,101.325,1409.3,ABgjCB,"2-(acetyloxy)-N-ethyl-N,N-dimethylethanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.C(C)(=O)OCC[N+](C)(C)CC,0.02006,0.891,"2-acetyloxyethyl-ethyl-dimethylazanium;1,1,1-trifluoro-N-(trifluoromethylsulfonyl)methanesulfonamide"
283,101.325,1405.0,ABjoGY,"N-ethyl-2-(2-methoxyethoxy)-N,N-dimethylethanaminium bis(trifluoromethylsulfonyl)imide",[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+](CCOCCOC)(C)C,0.1275,0.1249,bis(trifluoromethylsulfonyl)azanide;ethyl-[2-(2-methoxyethoxy)ethyl]-dimethylazanium
293,101.325,1159.7,AAmkun,1-butyl-3-methylimidazolium nitrate,CCCCN1C=C[N+](=C1)C.[N+](=O)([O-])[O-],0.223,0.0255,1-butyl-3-methylimidazol-3-ium;nitrate
318,101.325,1127.3,AAlILE,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",O[C@H](C(=O)[O-])C.OCC[N+](C)(C)C,0.51,0.0897,2-hydroxyethyl(trimethyl)azanium;(2S)-2-hydroxypropanoate
