298,101.325,1214.34,AAquXI,1-butylpyridinium tetrafluoroborate,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC=C1,0.1603,0.242,1-butylpyridin-1-ium;tetrafluoroborate
363,101.325,1288.0,ABHPsL,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,FS(=O)(=O)[N-]S(=O)(=O)F.C[N+]1(CCCC1)CCC,0.0088,3.22,bis(fluorosulfonyl)azanide;1-methyl-1-propylpyrrolidin-1-ium
303,101.325,1302.7,ABJzJH,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C,0.0425,0.339,bis(fluorosulfonyl)azanide;1-butyl-1-methylpyrrolidin-1-ium
308,101.325,1175.9,AAtemV,1-butyl-4-methylpyridinium tetrafluoroborate,[B-](F)(F)(F)F.CCCC[N+]1=CC=C(C=C1)C,0.1079,0.339,1-butyl-4-methylpyridin-1-ium;tetrafluoroborate
328,101.325,1162.2,AAteAG,1-butyl-3-methylpyridinium tetrafluoroborate,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,0.039,0.851,1-butyl-3-methylpyridin-1-ium;tetrafluoroborate
293,101.325,1099.5,ABETPF,N-octyl-3-methylpyridinium tetrafluoroborate,[B-](F)(F)(F)F.CCCCCCCC[N+]1=CC=CC(=C1)C,0.668,0.0266,3-methyl-1-octylpyridin-1-ium;tetrafluoroborate
283,101.325,1309.8,ABDWrN,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],0.201,0.14,1-butyl-3-methylimidazol-3-ium;trifluoromethanesulfonate
333,101.325,1348.0,AAyCSX,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],0.01502,2.246,1-ethyl-3-methylimidazol-3-ium;trifluoromethanesulfonate
318,101.325,1037.22,AApeAj,1-butyl-3-methylpyridinium dicyanamide,[N-](C#N)C#N.C(CCC)[N+]1=CC(=CC=C1)C,0.01796,1.715,1-butyl-3-methylpyridin-1-ium;dicyanoazanide
288,101.325,1473.7,ABcDTm,2-methyl-1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CC1=[N+](C=CC=C1)CCC,0.1446,0.1637,bis(trifluoromethylsulfonyl)azanide;2-methyl-1-propylpyridin-1-ium
288,101.325,1515.4,ABZTJS,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[N+]1=C(C=CC=C1)C,0.1288,0.1989,bis(trifluoromethylsulfonyl)azanide;1-ethyl-2-methylpyridin-1-ium
333,101.325,1178.4,AAteYX,1-butyl-2-methylpyridinium tetrafluoroborate,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC=C1C,0.0382,0.64,1-butyl-2-methylpyridin-1-ium;tetrafluoroborate
323,101.325,1266.7,AAmDWl,1-ethyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCN1C=C[N+](=C1)C,0.01735,2.85,1-ethyl-3-methylimidazol-3-ium;tetrafluoroborate
308,101.325,1138.53,AAwsUz,1-hexyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCCCN1C=C[N+](=C1)C,0.085,0.207,1-hexyl-3-methylimidazol-3-ium;tetrafluoroborate
308,101.325,1439.32,ABcDJB,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1=CC=CC=C1,0.04009,0.4835,bis(trifluoromethylsulfonyl)azanide;1-butylpyridin-1-ium
328,101.325,1292.18,ABCsCW,1-butylpyridinium trifluoromethanesulfonate,CCCC[N+]1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[O-],0.03431,0.707,1-butylpyridin-1-ium;trifluoromethanesulfonate
353,101.325,1362.2,ABengX,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)[N+]1=CC(=CC=C1)C,0.01078,1.437,bis(trifluoromethylsulfonyl)azanide;1-butyl-3-methylpyridin-1-ium
323,101.325,1296.0,ABnWUm,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0326,0.351,bis(trifluoromethylsulfonyl)azanide;1-methyl-3-octylimidazol-1-ium
353,101.325,1461.0,ABXNmS,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.00781,3.111,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium
313,101.325,1036.0,AAsExa,1-butyl-3-methylimidazolium tricyanomethane,C(#N)C(C#N)C#N.C(CCC)N1C=[N+](C=C1)C,0.016,1.7,1-butyl-3-methylimidazol-3-ium;methanetricarbonitrile
313,101.325,1379.7,ABYLFy,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,CCCC[N+](C)(C)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.05301,0.387,bis(trifluoromethylsulfonyl)azanide;butyl(trimethyl)azanium
